user_id,recommended_learning_path
773.0,learning_path_id_4
780.0,learning_path_id_4
790.0,learning_path_id_4
798.0,learning_path_id_4
802.0,learning_path_id_4
815.0,learning_path_id_4
880.0,learning_path_id_4
899.0,learning_path_id_4
918.0,learning_path_id_4
920.0,learning_path_id_4
925.0,learning_path_id_4
987.0,learning_path_id_4
39.0,learning_path_id_11
40.0,learning_path_id_11
51.0,learning_path_id_11
74.0,learning_path_id_11
78.0,learning_path_id_11
83.0,learning_path_id_11
93.0,learning_path_id_11
95.0,learning_path_id_11
114.0,learning_path_id_11
124.0,learning_path_id_11
133.0,learning_path_id_11
139.0,learning_path_id_11
146.0,learning_path_id_11
164.0,learning_path_id_11
182.0,learning_path_id_11
184.0,learning_path_id_11
208.0,learning_path_id_11
233.0,learning_path_id_11
254.0,learning_path_id_11
274.0,learning_path_id_11
286.0,learning_path_id_11
307.0,learning_path_id_11
321.0,learning_path_id_11
323.0,learning_path_id_11
335.0,learning_path_id_11
344.0,learning_path_id_11
365.0,learning_path_id_11
384.0,learning_path_id_11
411.0,learning_path_id_11
425.0,learning_path_id_11
454.0,learning_path_id_11
501.0,learning_path_id_11
502.0,learning_path_id_11
518.0,learning_path_id_11
557.0,learning_path_id_11
566.0,learning_path_id_11
665.0,learning_path_id_11
678.0,learning_path_id_11
688.0,learning_path_id_11
702.0,learning_path_id_11
711.0,learning_path_id_11
719.0,learning_path_id_11
777.0,learning_path_id_11
803.0,learning_path_id_11
833.0,learning_path_id_11
893.0,learning_path_id_11
896.0,learning_path_id_11
923.0,learning_path_id_11
924.0,learning_path_id_11
953.0,learning_path_id_11
992.0,learning_path_id_11
